id,school,date,gamenum,location,opponent,outcome
1,Air Force,11/15/2014,10,,Nevada,W
2,Alabama,11/15/2014,10,,Mississippi State,W
3,Appalachian State,11/15/2014,10,@,Arkansas State,W
4,Arizona,11/15/2014,10,,Washington,W
5,Arizona State,11/15/2014,10,@,Oregon State,L
6,Arkansas,11/15/2014,10,,Louisiana State,W
7,Arkansas State,11/15/2014,10,,Appalachian State,L
8,Army,11/15/2014,10,@,Western Kentucky,L
9,Auburn,11/15/2014,10,@,Georgia,L
10,Boise State,11/15/2014,10,,San Diego State,W
11,Brigham Young,11/15/2014,10,,Nevada-Las Vegas,W
12,Central Michigan,11/15/2014,11,,Miami (OH),W
13,Clemson,11/15/2014,10,@,Georgia Tech,L
14,Duke,11/15/2014,10,,Virginia Tech,L
15,Eastern Michigan,11/15/2014,10,@,Western Michigan,L
16,Florida,11/15/2014,10,,South Carolina,L
17,Florida International,11/15/2014,11,,Middle Tennessee State,W
18,Florida State,11/15/2014,10,@,Miami (FL),W
19,Georgia,11/15/2014,10,,Auburn,W
20,Georgia Southern,11/15/2014,11,@,Navy,L
21,Georgia Tech,11/15/2014,11,,Clemson,W
22,Hawaii,11/15/2014,11,@,San Jose State,W
23,Idaho,11/15/2014,11,,Troy,L
24,Illinois,11/15/2014,10,,Iowa,L
25,Indiana,11/15/2014,10,@,Rutgers,L
26,Iowa,11/15/2014,10,@,Illinois,W
27,Kansas,11/15/2014,10,,Texas Christian,L
28,Kentucky,11/15/2014,11,@,Tennessee,L
29,Louisiana State,11/15/2014,11,@,Arkansas,L
30,Louisiana-Lafayette,11/15/2014,10,@,Louisiana-Monroe,W
31,Louisiana-Monroe,11/15/2014,10,,Louisiana-Lafayette,L
32,Marshall,11/15/2014,10,,Rice,W
33,Maryland,11/15/2014,10,,Michigan State,L
34,Memphis,11/15/2014,10,@,Tulane,W
35,Miami (FL),11/15/2014,10,,Florida State,L
36,Miami (OH),11/15/2014,11,@,Central Michigan,L
37,Michigan State,11/15/2014,10,@,Maryland,W
38,Middle Tennessee State,11/15/2014,10,@,Florida International,L
39,Minnesota,11/15/2014,10,,Ohio State,L
40,Mississippi State,11/15/2014,10,@,Alabama,L
41,Missouri,11/15/2014,10,@,Texas A&M,W
42,Navy,11/15/2014,10,,Georgia Southern,W
43,Nebraska,11/15/2014,10,@,Wisconsin,L
44,Nevada,11/15/2014,10,@,Air Force,L
45,Nevada-Las Vegas,11/15/2014,11,@,Brigham Young,L
46,New Mexico,11/15/2014,10,@,Utah State,L
47,North Carolina,11/15/2014,10,,Pittsburgh,W
48,North Carolina State,11/15/2014,11,,Wake Forest,W
49,North Texas,11/15/2014,10,@,Texas-El Paso,L
50,Northwestern,11/15/2014,10,@,Notre Dame,W
51,Notre Dame,11/15/2014,10,,Northwestern,L
52,Ohio State,11/15/2014,10,@,Minnesota,W
53,Oklahoma,11/15/2014,10,@,Texas Tech,W
54,Oklahoma State,11/15/2014,10,,Texas,L
55,Oregon State,11/15/2014,10,,Arizona State,W
56,Penn State,11/15/2014,10,,Temple,W
57,Pittsburgh,11/15/2014,10,@,North Carolina,L
58,Rice,11/15/2014,10,@,Marshall,L
59,Rutgers,11/15/2014,10,,Indiana,W
60,San Diego State,11/15/2014,10,@,Boise State,L
61,San Jose State,11/15/2014,10,,Hawaii,L
62,South Alabama,11/15/2014,10,,Texas State,W
63,South Carolina,11/15/2014,10,@,Florida,W
64,South Florida,11/15/2014,10,@,Southern Methodist,W
65,Southern Methodist,11/15/2014,9,,South Florida,L
66,Stanford,11/15/2014,10,,Utah,L
67,Temple,11/15/2014,10,@,Penn State,L
68,Tennessee,11/15/2014,10,,Kentucky,W
69,Texas,11/15/2014,11,@,Oklahoma State,W
70,Texas A&M,11/15/2014,11,,Missouri,L
71,Texas Christian,11/15/2014,10,@,Kansas,W
72,Texas State,11/15/2014,10,@,South Alabama,L
73,Texas Tech,11/15/2014,10,,Oklahoma,L
74,Texas-El Paso,11/15/2014,10,,North Texas,W
75,Troy,11/15/2014,11,@,Idaho,W
76,Tulane,11/15/2014,10,,Memphis,L
77,Utah,11/15/2014,10,@,Stanford,W
78,Utah State,11/15/2014,11,,New Mexico,W
79,Virginia Tech,11/15/2014,10,@,Duke,W
80,Wake Forest,11/15/2014,10,@,North Carolina State,L
81,Washington,11/15/2014,11,@,Arizona,L
82,Western Kentucky,11/15/2014,10,,Army,W
83,Western Michigan,11/15/2014,10,,Eastern Michigan,W
84,Wisconsin,11/15/2014,10,,Nebraska,W
85,Central Florida,11/14/2014,9,,Tulsa,W
86,Tulsa,11/14/2014,10,@,Central Florida,L
87,California,11/13/2014,10,@,Southern California,L
88,Cincinnati,11/13/2014,9,N,East Carolina,W
89,East Carolina,11/13/2014,9,N,Cincinnati,L
90,Southern California,11/13/2014,10,,California,W
91,Southern Mississippi,11/13/2014,11,@,Texas-San Antonio,L
92,Texas-San Antonio,11/13/2014,10,,Southern Mississippi,W
93,Ball State,11/12/2014,10,@,Massachusetts,L
94,Bowling Green State,11/12/2014,10,,Kent State,W
95,Kent State,11/12/2014,10,@,Bowling Green State,L
96,Massachusetts,11/12/2014,10,,Ball State,W
