school,nickname,city,state,conference
Air Force,Falcons,Colorado Springs,Colorado,Mountain West
Akron,Zips,Akron,Ohio,MAC
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC
Alabama-Birmingham,Blazers,Birmingham,Alabama,C-USA
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt
Arizona,Wildcats,Tucson,Arizona,Pac-12
Arizona State,Sun Devils,Tempe,Arizona,Pac-12
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt
Army,Black Knights,West Point,New York,Independent
Auburn,Tigers,Auburn,Alabama,SEC
Ball State,Cardinals,Muncie,Indiana,MAC
Baylor,Bears,Waco,Texas,Big 12
Boise State,Broncos,Boise,Idaho,Mountain West
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC
Bowling Green,Falcons,Bowling Green,Ohio,MAC
Brigham Young,Cougars,Provo,Utah,Independent
Buffalo,Bulls,Buffalo,New York,MAC
California,Golden Bears,Berkeley,California,Pac-12
Central Florida,Knights,Orlando,Florida,American
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC
Cincinnati,Bearcats,Cincinnati,Ohio,American
Clemson,Tigers,Clemson,South Carolina,ACC
Colorado,Buffaloes,Boulder,Colorado,Pac-12
Colorado State,Rams,Fort Collins,Colorado,Mountain West
Connecticut,Huskies,Storrs,Connecticut,American
Duke,Blue Devils,Durham,North Carolina,ACC
East Carolina,Pirates,Greenville,North Carolina,American
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC
Florida,Gators,Gainesville,Florida,SEC
Florida Atlantic,Owls,Boca Raton,Florida,C-USA
Florida International,Panthers,Miami,Florida,C-USA
Florida State,Seminoles,Tallahassee,Florida,ACC
Fresno State,Bulldogs,Fresno,California,Mountain West
Georgia,Bulldogs,Athens,Georgia,SEC
Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt
Georgia State,Panthers,Atlanta,Georgia,Sun Belt
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC
